100 350
18 86 59
34 15 65
90 71 76
34 68 93
60 73 26
82 64 34
19 34 30
89 66 16
14 90 13
1 86 44
80 6 48
10 43 59
5 9 47
22 42 58
43 15 40
49 96 22
54 44 94
26 65 13
38 19 32
45 33 86
36 65 77
20 80 43
19 73 57
16 28 2
27 11 49
86 37 28
69 3 67
25 82 36
48 60 2
25 91 94
18 14 17
7 97 19
50 83 42
66 22 64
33 77 86
49 37 33
23 11 62
67 57 30
65 82 59
58 37 49
94 2 79
75 63 92
37 33 22
27 26 14
81 58 89
52 40 69
16 46 54
45 11 49
32 35 54
63 56 5
3 42 77
17 95 93
69 62 6
29 11 83
41 66 14
53 15 84
65 92 51
60 81 99
46 57 92
65 28 24
91 35 91
51 50 90
91 85 79
7 83 23
100 97 80
97 13 58
76 80 9
10 30 35
8 57 100
11 1 84
95 72 100
34 2 72
27 19 82
62 53 40
25 71 39
47 94 48
54 6 7
89 80 47
96 99 50
91 16 76
23 56 52
43 99 43
8 10 83
26 9 28
98 24 28
14 7 50
93 49 97
74 85 69
91 3 85
37 41 92
75 27 90
80 19 1
57 86 56
12 25 48
35 52 76
49 95 32
15 26 73
99 83 37
62 94 80
9 22 64
33 74 36
53 99 66
71 7 20
74 35 42
31 49 49
28 91 81
3 83 13
99 59 51
66 82 61
16 56 35
59 89 20
67 97 84
40 84 13
12 53 76
40 73 40
68 94 78
65 81 3
9 8 93
31 91 87
48 83 61
60 19 67
47 51 88
62 34 43
47 69 32
37 77 40
19 24 15
7 22 3
93 88 57
44 39 60
30 35 68
31 3 94
6 11 6
54 9 76
23 66 35
22 44 66
47 11 47
55 96 16
71 93 49
21 88 29
35 7 8
76 54 21
94 32 39
53 59 49
35 100 44
19 86 11
4 94 69
96 68 33
35 96 79
8 40 83
91 30 32
10 75 28
9 36 53
24 73 66
38 94 41
25 36 21
55 80 43
46 71 95
40 76 18
8 5 35
47 88 21
91 70 87
19 83 28
79 100 55
24 10 46
45 3 71
82 15 51
20 25 66
59 49 95
33 72 7
24 97 91
57 64 15
73 95 53
75 55 25
14 95 88
2 58 39
47 30 97
52 65 81
26 30 70
15 70 28
1 8 72
77 22 43
28 90 2
93 66 12
17 3 46
23 19 92
98 82 52
69 100 89
91 69 81
36 78 45
92 20 99
71 79 76
29 91 67
46 6 6
62 1 20
95 30 64
77 90 7
64 27 87
1 35 80
22 15 70
3 76 59
45 87 46
27 32 75
49 43 8
74 58 77
81 68 66
65 10 50
61 29 60
82 90 96
60 37 59
80 56 41
71 5 82
6 3 40
73 1 97
14 44 71
81 46 10
18 6 13
65 80 89
99 45 88
32 12 95
19 42 80
41 100 41
40 74 21
70 95 83
60 39 35
38 98 20
50 24 40
65 90 62
84 38 85
34 52 57
37 87 1
76 16 46
6 94 27
89 17 10
55 45 97
1 52 29
17 57 18
99 88 37
80 30 1
59 63 99
12 27 66
8 38 66
3 12 61
67 59 48
32 9 37
45 46 54
56 95 96
66 42 93
32 47 39
83 39 35
35 61 99
86 95 56
73 25 30
97 5 87
67 52 56
84 49 83
33 44 8
16 51 53
74 16 73
19 48 41
3 46 85
64 44 65
79 47 21
34 69 75
57 82 49
47 10 22
26 66 7
61 49 46
62 86 57
53 91 88
37 45 38
52 44 10
29 52 40
12 96 78
62 32 11
16 36 8
68 26 100
19 22 22
11 38 13
16 78 64
58 79 43
96 29 66
43 12 94
94 83 31
37 67 49
76 14 89
52 50 47
25 11 28
51 28 93
82 3 87
9 59 2
51 96 100
74 7 99
41 61 100
95 47 58
69 10 9
93 79 92
47 92 42
50 43 19
56 14 22
52 26 54
57 71 29
34 55 85
96 82 9
62 7 99
22 55 97
95 80 49
22 53 49
79 54 70
69 66 1
85 61 45
67 34 48
4 96 93
3 80 65
51 78 7
6 78 40
66 62 28
24 25 16
55 33 30
55 15 61
36 32 59
70 44 2
85 57 81
30 53 56
29 89 12
5 68 87
24 7 100
68 74 5
28 30 83
69 18 40
76 18 100
8 30 35
11 56 66
84 60 17
11 54 1
67 100 41
92 2 11
43 48 98
100 27 72
43 17 81
33 32 58
11 32 77
8 37 51
92 26 35
66 12 81
38 97 43
28 50 90
72 55 69
70 90 30
16 2 61
67 25 7
