0  "UiO"
1  "UiO"
2  "HiG Gjovik"
3  "UiO St Olavsplass 5"
4  "HiBU Kongsberg"
5  "HiBU Drammen"
6  "UNIK Kjeller"
7  "HiBu Honefoss"
8  "NB Mo i Rana"
9  "HiNe Nesna"
10  "HVE Borre"
11  "HVE Larvik"
12  "HiN Narvik"
13  "HiH Harstad"
14  "UiTo Karasjok"
15  "UiTo"
16  "HiA Alesund"
17  "HVO Volda"
18  "UiS Stavanger"
19  "VetHS Sandnes"
20  "HSH Haugesund"
21  "HSH Stord"
22  "UiB Hoyteklogibygget"
23  "UiB BT"
24  "HSF Songdal"
25  "HSF Forde"
26  "HiNe Sandnesjoen"
27  "HiNT Steinkjer"
28  "NORDUnet Stockholm"
29  "HBO Bodo"
30  "SA/SH Kautokeino"
31  "HiF Kirkenes"
32  "Stockholm"
33  "NyAlesund"
34  "Hing Stjordal"
35  "HiNT Levanger"
36  "HiNT Namsos"
37  "HiNe Mo i Rana"
38  "HSF Sandane"
39  "HSM Molde"
40  "UNIS Svalbard"
41  "HSM Kristiansun"
42  "HiF Hammerfest"
43  "UiTo"
44  "HiF Vadso"
45  "NORDUnet Kobenhavn"
46  "UiA Kristiansand"
47  "UiA Grimstad"
48  "HiO Halden"
49  "UMB As"
50  "HiO Fredrikstad"
51  "HiAK Kjeller"
52  "Hit Rauland"
53  "HiT Porsgrunn"
54  "HiT Bo"
55  "HiT Notodden"
56  "HiF Alta"
57  "HH Evenstad"
58  "NORDUnet Stockholm"
59  "HH Hamar"
60  "HiL Lillehammer"
61  "NTNU Hovedbygget"
62  "NTNU Realfagbygget"
63  "UNINETT Teknobyen"
64  "HH Tynset"
65  "HBO Mo i Rana"
66  "HH Rena"
67  "HH Elverum"
68  "HH Kongsvinger"
-1
0 1 10
0 3 10
0 68 1
0 49 10
0 54 1
0 23 10
1 32 10
1 3 10
1 6 1
1 48 10
1 58 10
1 62 10
2 3 1
2 60 1
3 5 1
3 45 10
3 46 2.5
3 22 2.5
3 61 10
4 5 1
4 7 1
5 10 1
5 54 1
6 51 1
7 51 1
8 65 1
8 36 1
8 37 1
8 9 1
8 29 2.5
8 62 2.5
9 26 1
10 50 1
10 11 1
12 32 10
12 15 10
12 29 1
12 61 10
12 13 1
13 40 1
13 43 1
13 43 10
13 29 2.5
14 30 1
14 31 1
15 42 1
15 43 10
16 17 1
16 61 2.5
16 22 2.5
16 39 1
17 25 1
18 19 1
18 20 1
18 46 2.5
18 23 2.5
20 21 1
21 22 1
22 23 10
22 24 1
22 61 10
24 25 1
25 38 1
26 61 1
26 29 1
27 35 1
27 36 1
27 61 1
28 32 10
30 56 1
31 44 1
33 40 1
34 35 1
34 62 1
39 41 1
41 63 1
42 56 1
42 44 1
43 56 1
43 62 10
46 47 1
47 53 1
48 50 1
49 50 1
52 54 1
53 54 1
54 55 1
57 64 1
57 66 1
59 67 1
59 60 1
61 62 10
61 63 1
62 63 1
62 63 1
63 64 1
66 67 1
67 68 1
