100 143
63 77 49
78 62 36
68 87 56
4 23 29
79 99 21
94 55 4
61 46 73
69 62 84
34 2 77
49 60 66
7 16 9
74 89 26
17 76 95
55 74 10
81 48 30
7 72 19
54 29 72
24 40 35
56 33 90
29 7 36
56 30 10
96 89 1
14 21 91
15 27 24
41 4 89
69 94 60
34 83 14
96 76 89
50 25 100
83 37 41
15 37 5
83 68 73
88 63 75
3 91 58
16 96 62
79 95 35
66 96 51
68 96 47
12 50 11
3 25 28
11 81 21
78 55 10
90 13 76
100 68 76
26 29 43
28 40 34
95 87 47
8 63 48
48 27 32
6 35 57
23 81 6
37 94 85
53 83 47
90 46 31
65 44 13
11 79 52
58 42 62
31 5 51
74 41 74
91 64 96
5 98 51
34 64 2
77 81 57
33 71 34
9 12 87
43 98 13
28 57 83
83 11 76
12 98 13
81 25 1
17 90 7
62 24 100
83 76 94
53 21 80
59 19 63
76 29 42
37 66 55
41 8 12
7 26 76
52 40 19
79 57 11
87 59 78
86 33 45
3 46 27
6 38 98
3 58 63
99 7 88
27 51 54
9 89 20
53 9 67
5 54 62
36 8 55
90 30 46
11 87 93
11 54 76
76 4 61
99 84 18
71 41 39
100 94 50
20 72 62
58 27 26
100 19 89
50 26 91
57 35 53
32 41 16
54 95 53
92 49 67
93 75 87
75 47 10
23 19 8
69 42 56
53 6 24
32 96 60
49 66 90
73 94 79
66 55 66
35 99 51
36 25 76
27 87 28
35 46 15
62 79 57
26 66 50
16 63 1
3 94 45
4 91 93
59 81 63
86 62 11
65 60 64
75 62 82
4 96 3
49 2 21
10 1 59
18 1 220
22 10 356
38 22 164
39 10 86
45 1 56
67 10 120
70 45 476
80 67 159
82 1 480
85 22 413
97 38 220
100 143
85 48 69
88 63 58
19 15 42
39 95 27
92 45 9
80 52 87
4 84 86
2 34 88
45 34 38
83 37 5
74 51 3
56 78 17
58 24 25
24 87 51
88 93 63
7 15 5
55 35 17
56 63 93
67 12 3
58 65 29
32 20 87
12 47 57
81 50 52
97 78 82
20 30 86
45 10 42
39 73 43
76 56 56
8 7 35
27 25 35
45 2 75
69 99 57
50 17 19
67 4 97
15 34 29
1 17 60
95 22 20
25 57 84
30 48 43
59 7 54
60 11 21
16 12 10
91 57 58
82 3 25
72 44 63
87 54 37
80 93 45
90 86 91
54 17 55
81 94 74
74 19 34
23 17 1
17 36 74
44 69 89
18 90 11
30 11 10
83 63 52
8 20 60
95 5 68
88 18 10
79 12 49
33 96 23
62 61 36
79 46 43
61 58 23
9 77 46
67 29 21
98 48 85
44 46 56
23 89 93
52 35 56
1 71 40
6 18 24
46 7 6
31 77 96
65 87 71
55 25 98
71 50 41
57 13 9
33 72 95
83 52 60
37 43 72
1 81 9
6 82 18
40 87 78
26 16 38
18 46 99
67 61 53
75 43 11
91 72 77
69 3 72
36 19 39
26 62 94
87 63 29
85 17 74
28 23 39
15 24 63
45 94 8
71 25 13
81 13 32
55 70 63
22 18 3
48 77 56
76 59 18
78 24 24
25 12 6
61 83 68
25 11 28
56 55 1
58 62 47
75 26 11
7 95 21
100 49 20
64 99 76
75 32 40
60 69 81
93 32 70
72 89 83
75 29 18
96 31 70
45 31 98
89 38 32
13 31 58
48 37 21
65 22 37
36 50 75
95 24 6
71 62 59
59 5 24
44 87 1
56 42 56
97 28 85
33 95 46
89 30 22
52 41 100
10 43 56
12 75 12
21 14 179
41 21 120
49 41 105
53 41 90
66 41 92
68 66 210
100 149
42 32 47
45 53 11
72 67 57
90 28 83
38 18 5
59 43 66
79 99 45
77 55 90
57 48 76
62 61 60
38 22 91
47 42 23
86 37 19
9 43 62
92 66 51
3 89 19
74 53 94
22 75 96
9 76 76
95 16 75
8 71 51
31 52 51
43 73 23
11 67 64
5 20 10
15 70 94
45 22 82
87 51 1
96 95 54
74 88 40
83 3 65
13 45 98
51 17 53
99 96 97
86 79 29
2 52 22
79 100 38
76 66 36
100 68 2
23 97 45
96 39 73
76 88 65
31 69 21
44 9 97
56 100 59
100 33 79
9 60 14
72 71 26
24 61 60
7 3 3
58 21 38
67 15 11
25 83 41
15 62 50
2 3 8
28 47 6
73 5 41
19 62 3
61 74 94
78 4 14
65 36 6
95 88 61
60 4 7
29 11 12
13 47 24
41 45 100
85 41 11
25 29 36
68 57 70
98 14 94
70 37 38
90 84 61
23 12 57
72 19 37
62 32 48
40 59 83
8 41 25
81 41 46
88 36 24
41 4 100
93 6 21
4 94 12
44 13 91
37 48 73
33 51 21
79 77 21
20 81 32
50 59 34
97 28 58
53 14 68
83 86 10
69 53 95
23 54 23
6 44 8
39 21 9
88 29 57
13 5 82
40 64 68
28 76 77
57 40 41
38 57 1
58 15 96
55 3 3
9 32 67
65 24 29
75 23 8
5 2 76
69 45 10
75 7 83
79 58 43
97 99 52
73 68 54
58 23 74
70 64 13
6 47 10
83 50 76
74 56 58
22 85 84
43 50 89
78 95 15
67 73 28
77 22 54
88 73 73
10 18 65
12 52 43
23 21 66
59 83 28
99 53 73
40 25 82
39 69 44
96 28 63
15 17 74
72 97 48
70 85 3
38 6 44
8 38 70
90 52 62
1 27 34
27 26 212
30 26 437
34 27 475
35 26 203
46 30 155
49 26 346
63 46 60
64 34 80
80 64 81
82 26 410
91 63 225
100 142
97 47 10
83 60 65
56 83 66
18 80 72
90 73 77
78 19 17
15 5 75
34 51 83
94 83 19
11 67 89
33 49 80
58 52 50
28 11 25
97 60 43
39 82 70
49 14 45
78 95 45
42 61 56
47 72 48
51 82 64
17 29 61
28 8 49
31 15 33
58 92 26
52 5 21
76 40 56
86 18 12
1 32 38
92 67 67
68 52 77
4 37 74
24 80 60
64 20 35
47 91 50
13 63 26
9 73 98
94 69 95
56 67 63
79 3 31
30 50 28
66 41 4
67 34 18
51 54 16
95 55 60
82 3 31
59 18 11
87 5 27
33 26 83
66 29 98
91 80 46
18 98 66
11 43 92
89 59 93
12 48 14
56 48 86
69 87 95
76 87 28
59 63 96
66 15 17
66 10 65
98 51 19
29 9 3
21 7 64
94 48 64
60 4 14
83 52 67
40 13 33
94 78 81
97 76 99
75 6 81
85 62 22
69 56 81
41 49 13
49 38 64
82 40 44
54 90 75
83 3 28
79 74 75
31 67 36
52 1 96
65 57 56
43 47 99
32 71 8
2 34 87
53 24 16
58 27 38
66 67 5
15 45 19
26 64 46
45 33 63
65 46 42
18 11 49
99 40 5
80 31 77
86 75 25
88 26 97
4 10 91
49 37 82
36 15 6
17 53 23
50 46 74
76 49 24
99 93 34
10 44 40
10 96 96
20 62 49
20 25 92
16 65 81
33 66 45
33 7 84
46 68 45
21 95 7
43 99 72
74 41 79
64 86 93
77 66 16
5 17 57
27 6 13
9 63 13
63 86 26
4 38 25
47 71 55
99 86 21
63 30 71
31 37 74
85 18 98
54 82 51
96 15 38
76 5 56
43 96 49
7 72 3
71 66 80
97 49 76
98 23 59
46 38 53
23 22 547
35 22 203
61 23 142
70 23 204
81 70 219
84 22 96
100 81 563
100 136
51 29 33
6 36 77
45 81 20
82 50 65
66 83 60
51 74 68
7 79 27
36 85 2
97 71 84
62 57 45
83 31 100
99 73 55
85 15 36
64 61 74
43 60 40
69 54 33
70 59 72
51 7 46
11 83 18
84 3 5
19 76 76
24 48 25
30 32 9
14 46 72
56 22 87
33 28 67
84 67 99
89 51 59
50 48 62
88 36 18
94 54 23
38 58 44
10 46 13
72 58 26
2 41 91
21 98 88
45 27 23
95 84 27
64 30 97
19 12 71
23 11 40
21 88 86
51 71 75
91 21 97
62 78 16
35 27 49
24 77 57
73 18 67
80 97 61
78 40 39
73 46 58
20 17 34
28 17 98
49 67 83
86 42 74
7 72 54
24 14 6
36 82 74
97 90 10
14 52 94
23 31 35
95 87 68
65 37 69
66 12 22
78 63 32
91 97 20
3 30 50
14 79 49
61 34 96
75 4 87
76 54 14
55 72 65
60 25 49
86 27 78
87 66 40
71 12 44
93 34 52
92 37 98
76 49 54
