50 83
24 46 59
36 9 60
48 39 89
49 2 98
40 8 63
42 40 23
50 31 83
37 12 42
45 17 9
5 39 1
45 15 35
36 30 93
49 29 48
11 25 74
27 36 79
31 7 16
10 40 51
36 29 45
23 12 90
50 20 42
31 6 37
15 24 97
43 6 65
37 19 74
12 34 91
25 15 63
40 6 96
45 47 53
1 20 39
48 23 92
12 13 18
6 39 54
12 27 90
1 50 52
19 46 51
12 26 70
45 34 93
30 8 67
39 41 7
18 24 16
32 39 37
6 10 65
40 4 1
9 5 58
15 48 62
46 16 78
38 32 15
5 27 59
14 15 87
22 21 56
4 24 19
48 26 79
47 12 33
5 10 21
6 36 1
26 29 21
1 48 15
24 47 89
29 21 100
2 24 74
38 46 66
7 37 8
43 47 81
45 48 28
49 9 19
37 33 29
14 2 37
7 33 86
50 7 52
7 5 97
35 39 69
30 22 9
22 1 44
4 37 64
4 12 43
22 26 55
21 10 22
30 34 59
37 39 62
50 22 1
28 3 4
33 28 87
44 33 16
