100 131
94 90 14
20 97 67
31 80 100
85 95 55
35 57 78
69 9 64
17 6 85
15 67 27
82 46 61
15 70 89
55 63 60
79 63 94
45 16 40
51 96 68
67 60 21
68 92 96
40 21 5
54 41 14
31 28 63
15 10 87
25 100 17
64 5 22
80 61 94
48 64 6
37 92 37
66 33 68
40 25 30
80 74 96
64 88 36
56 3 69
16 47 19
95 8 34
36 77 68
36 42 52
53 2 11
7 38 70
63 2 78
58 49 78
92 51 61
9 74 29
1 82 90
76 84 51
68 83 3
77 7 37
42 20 86
38 34 84
42 71 95
95 11 26
15 57 34
69 4 48
80 97 69
66 81 71
45 66 16
18 26 57
51 56 83
27 1 91
53 43 36
90 40 48
95 60 64
74 54 100
66 16 15
74 13 19
77 28 80
39 42 13
65 69 99
30 6 5
19 42 80
36 24 51
42 88 45
33 7 15
83 87 10
69 10 76
60 82 86
92 90 36
75 91 73
73 2 49
60 87 26
26 30 75
25 76 59
63 50 42
79 36 19
59 48 43
58 20 58
39 10 87
25 35 3
45 67 44
53 60 29
55 97 8
79 20 84
58 97 49
34 39 8
68 15 52
96 3 19
78 80 95
99 12 13
46 85 58
58 12 64
20 35 23
49 67 35
15 65 4
72 91 57
71 54 33
42 5 55
79 93 45
29 96 62
7 24 48
82 34 50
84 67 57
84 73 31
16 63 85
84 56 43
31 15 70
70 30 26
71 100 68
48 10 70
79 22 22
76 81 95
7 44 52
45 42 23
52 29 19
90 36 9
30 50 78
75 65 35
39 45 5
51 98 55
23 14 184
32 23 127
62 14 215
86 32 300
89 14 477
98 86 187
