70 94
3 18 60
10 51 87
22 65 69
29 63 60
39 59 18
32 47 16
14 39 36
19 68 61
49 34 14
15 35 68
12 22 16
70 27 39
61 9 31
45 69 46
56 62 17
26 5 23
13 25 73
25 61 17
28 51 87
20 2 65
40 39 37
38 64 11
46 52 21
60 34 64
24 22 75
43 48 13
43 26 93
29 17 58
63 15 26
20 37 81
64 43 35
33 69 17
44 52 6
42 26 64
12 57 67
48 44 34
6 33 73
1 5 60
56 68 71
64 19 30
21 33 6
55 24 16
60 31 4
51 53 39
46 65 86
7 59 10
21 31 34
21 43 12
63 46 31
27 7 86
21 50 34
70 10 51
4 33 60
53 19 12
50 17 92
57 66 98
33 23 54
38 2 21
7 26 18
30 69 5
61 50 12
55 28 13
6 57 4
31 61 58
38 5 82
65 13 92
38 42 8
13 3 15
5 16 93
16 62 77
43 38 76
53 16 83
15 38 14
13 22 38
14 30 31
70 22 17
26 55 21
33 29 88
35 19 56
28 5 12
30 36 27
54 47 20
68 43 28
5 20 67
9 34 2
11 46 93
67 60 74
66 4 78
50 58 28
7 66 40
70 9 58
41 8 307
47 8 307
58 47 106
70 95
29 10 77
4 64 18
20 31 84
23 57 95
34 15 44
5 59 27
64 55 64
34 21 48
52 31 58
49 43 51
57 66 43
31 69 96
7 9 31
15 38 67
58 38 35
68 66 38
20 60 43
62 35 3
45 4 18
15 47 56
67 14 75
64 28 14
68 1 51
29 26 36
44 30 36
55 59 3
48 9 39
4 49 85
23 37 16
32 22 71
69 24 82
8 9 12
40 61 67
59 9 99
28 10 95
37 48 16
54 62 19
62 17 34
68 63 71
52 16 80
56 40 75
62 41 1
12 13 95
58 18 43
13 43 82
21 20 25
38 19 84
55 23 57
64 61 8
65 30 26
10 4 3
18 3 55
7 57 12
7 68 36
3 34 42
64 29 58
12 65 38
4 50 84
66 42 77
22 64 51
65 68 46
32 45 51
14 51 29
2 52 78
42 61 65
31 25 55
53 10 39
8 45 5
64 65 20
14 56 63
6 14 25
8 37 48
49 16 42
67 34 21
46 21 60
7 14 56
23 51 2
62 25 53
4 23 32
34 61 76
30 63 59
60 5 11
23 66 82
16 62 28
36 4 14
51 19 41
20 67 55
58 26 58
48 46 68
28 51 48
25 11 110
27 11 140
33 25 209
39 33 159
70 33 180
70 100
3 8 74
30 41 1
12 40 92
43 48 62
48 68 29
19 24 36
67 5 24
21 6 86
62 20 56
54 64 36
51 5 3
24 67 16
62 59 95
41 35 21
37 10 65
40 27 70
17 46 34
62 45 2
47 5 17
27 53 47
19 46 3
6 5 2
46 30 19
6 54 68
49 22 17
39 68 15
2 51 91
20 3 95
46 67 22
62 2 89
34 24 9
37 53 27
59 38 10
17 8 39
33 11 70
17 41 9
46 24 47
54 55 79
68 5 70
16 19 59
55 48 4
65 35 71
4 38 77
67 53 8
17 50 24
34 65 41
66 10 31
25 41 33
31 59 44
49 14 7
67 13 3
48 26 22
60 34 3
7 63 86
25 56 52
51 70 96
18 31 28
60 50 37
52 9 48
7 34 45
38 29 37
12 60 92
20 1 94
43 47 41
51 43 6
51 10 38
17 28 6
27 31 93
14 18 69
70 62 77
30 36 7
34 28 97
47 33 57
19 57 45
66 70 4
42 45 38
28 19 30
34 22 26
45 68 8
70 29 17
18 1 5
30 38 5
16 33 64
36 22 45
14 58 20
32 60 82
16 68 58
20 51 89
14 64 41
58 36 76
36 33 57
30 57 29
45 60 49
30 14 62
15 9 443
23 15 148
44 9 427
58 23 216
61 44 52
69 23 111
70 95
27 39 100
10 17 44
53 27 31
56 22 30
5 64 98
41 4 100
17 33 16
26 30 51
1 15 10
29 23 87
34 19 48
54 19 58
9 37 2
69 3 49
31 64 71
7 25 74
57 36 8
52 64 34
47 51 7
53 33 66
60 43 65
12 22 87
47 68 15
40 15 82
1 70 90
10 29 88
9 21 54
42 21 90
50 69 96
60 52 53
65 44 76
44 40 52
55 23 16
69 25 2
50 9 84
69 11 10
38 33 67
44 64 79
20 24 7
18 2 55
67 19 90
33 34 72
21 67 84
70 30 43
24 19 9
10 22 49
39 20 57
63 67 5
11 2 12
21 52 38
25 42 93
70 45 61
4 68 46
67 14 1
63 47 62
33 62 97
16 14 82
34 11 47
41 15 70
15 35 11
36 27 46
6 8 79
26 3 81
61 47 84
60 14 74
25 45 57
37 49 81
33 5 29
7 1 81
69 15 91
52 30 44
1 41 87
49 30 42
47 15 30
52 41 25
62 27 75
32 6 87
42 28 78
44 51 9
42 13 9
31 19 82
48 46 85
4 26 3
4 5 80
16 40 84
42 44 84
28 20 32
11 62 77
37 29 90
35 1 88
1 58 22
46 8 108
58 46 278
59 46 448
66 46 405
70 105
37 62 76
12 8 93
52 37 62
60 28 20
34 29 21
6 70 13
27 35 78
56 54 35
70 18 87
27 67 50
22 33 74
8 46 96
48 63 78
30 37 52
14 50 83
53 5 25
69 10 28
37 11 12
17 22 84
4 29 63
12 35 7
42 47 80
34 16 67
48 13 66
69 11 49
10 20 62
29 54 24
35 29 55
15 14 54
51 15 89
51 49 65
61 37 47
40 57 91
7 47 52
36 9 83
53 26 57
13 67 55
12 64 32
61 13 41
62 47 16
68 46 56
62 15 10
3 56 54
69 12 87
48 51 5
60 31 27
33 60 47
35 64 18
47 67 18
26 63 39
36 23 17
40 23 4
67 33 34
50 40 49
31 22 88
13 11 4
60 19 29
69 40 53
67 9 98
17 36 88
64 19 91
60 63 14
4 67 95
32 39 23
42 65 52
12 33 23
33 62 51
26 7 47
50 7 59
32 4 7
40 32 3
63 56 39
22 18 32
5 62 57
61 12 41
37 33 92
58 40 75
69 22 16
43 25 47
6 16 16
8 31 63
48 35 36
15 49 92
32 53 42
8 34 28
69 6 33
20 60 70
14 66 33
7 17 65
34 26 62
6 66 24
65 48 70
28 43 82
31 68 8
13 65 46
2 1 333
21 2 87
24 1 278
25 21 100
38 1 534
41 24 95
44 38 531
45 44 318
55 25 205
59 2 274
70 103
36 66 62
40 59 100
14 41 76
23 6 98
45 11 86
56 33 84
39 59 32
41 58 96
8 60 50
49 58 26
38 14 12
3 63 66
28 59 36
26 1 71
51 55 25
66 1 32
55 46 50
66 6 87
22 64 66
24 19 15
24 10 85
29 31 60
60 65 19
35 37 74
45 62 89
70 39 39
28 34 26
31 2 41
60 33 5
32 13 30
23 65 20
62 61 65
1 7 81
38 47 45
41 30 18
24 8 30
50 58 81
50 9 29
20 56 12
16 47 57
67 70 33
54 53 90
35 49 50
70 69 94
35 56 50
