80 150
41 13 8
63 22 44
49 15 66
46 44 30
72 13 87
6 44 94
30 69 38
79 39 8
69 15 97
35 1 56
27 57 25
8 46 19
75 57 79
39 36 21
3 51 28
15 45 65
61 2 27
52 11 98
54 20 75
77 70 67
18 17 24
16 56 60
36 76 43
50 53 68
40 33 91
46 5 83
70 63 4
43 36 72
27 9 13
23 36 27
78 29 63
12 40 50
70 45 37
13 68 81
76 17 89
77 13 34
41 7 7
80 2 94
1 56 20
66 62 12
11 6 64
62 51 3
8 67 63
31 71 98
2 22 72
49 80 67
75 63 7
1 17 2
15 5 59
19 48 44
1 23 30
15 76 34
69 79 92
34 41 57
35 42 19
24 64 4
46 73 82
47 7 31
54 12 34
64 61 20
58 15 42
7 31 62
69 43 83
31 55 24
32 69 97
75 47 18
67 61 19
2 28 65
64 67 60
44 38 27
57 56 51
49 66 7
23 51 69
21 65 56
14 20 67
61 52 40
9 30 41
74 8 26
9 53 21
46 31 75
11 50 74
31 41 37
36 67 11
28 56 89
15 8 82
75 19 99
33 60 50
75 65 3
4 37 25
62 38 17
50 43 33
43 28 90
77 30 72
48 57 67
4 26 98
64 15 32
33 17 56
75 76 22
12 53 55
46 25 40
51 16 70
43 64 25
20 16 36
41 68 77
51 17 22
20 52 88
72 60 95
21 19 73
3 49 75
77 4 48
23 78 64
48 3 18
25 24 62
49 78 51
45 53 83
58 63 66
53 43 51
25 80 99
62 65 26
34 74 68
65 10 77
23 16 17
50 73 98
79 65 42
64 47 77
43 32 60
23 52 41
56 12 36
21 28 31
60 40 23
76 2 20
51 40 76
54 35 42
45 65 77
50 67 12
34 39 26
6 35 73
1 45 98
59 41 13
16 66 92
69 71 49
66 23 62
71 30 37
41 38 76
34 16 84
28 25 89
8 40 95
73 41 15
32 74 60
13 17 11
