100 1028
90 84 49
83 9 84
66 49 85
24 63 36
11 56 49
100 78 50
67 74 65
21 88 35
78 85 34
75 93 1
79 52 11
41 6 50
53 66 44
1 75 74
59 17 2
76 10 49
62 32 47
8 28 15
86 87 27
74 58 39
59 91 89
30 19 11
47 68 55
49 87 76
62 20 45
62 22 45
55 95 16
3 59 47
5 43 1
30 17 61
41 95 47
76 51 57
25 14 37
6 38 43
64 17 33
60 83 50
55 29 44
77 24 68
53 3 14
52 82 44
18 80 43
86 92 14
34 40 27
11 3 99
13 16 27
67 86 86
74 61 68
18 61 11
17 62 8
61 88 89
30 28 77
54 75 46
20 76 59
59 45 80
1 4 23
23 86 30
98 90 11
41 87 71
16 22 17
27 23 39
63 23 94
17 83 93
68 5 35
68 48 57
74 84 75
63 8 1
71 52 9
91 38 67
41 90 57
34 71 21
5 27 7
84 46 92
56 9 29
44 7 27
4 34 24
72 40 94
88 5 11
79 16 98
13 63 20
24 80 41
87 6 26
33 97 85
36 49 28
59 16 59
71 97 98
15 96 100
78 22 33
25 52 75
58 55 21
60 77 98
26 76 81
30 15 89
55 74 18
21 33 33
76 45 13
9 22 35
7 78 53
62 40 24
46 71 33
31 2 99
52 78 73
24 61 97
59 61 67
88 17 13
50 54 70
10 64 8
91 41 69
63 20 24
45 12 73
79 25 7
56 63 56
38 82 60
84 91 67
36 59 67
65 21 51
56 78 31
45 33 87
50 85 44
52 3 63
49 76 52
44 81 99
29 89 86
15 92 47
49 15 60
78 19 71
86 15 100
15 64 35
69 78 62
94 29 87
62 84 63
65 87 23
6 56 77
61 76 90
75 72 35
71 53 19
21 25 80
42 51 15
26 1 4
87 30 33
39 86 14
39 46 86
3 57 20
39 64 66
30 67 58
74 29 87
78 86 79
59 40 25
19 100 48
87 26 44
98 28 44
64 38 9
58 21 80
38 45 48
54 68 70
44 80 29
92 39 35
64 3 75
21 87 34
78 60 85
91 43 65
73 61 91
27 12 23
88 20 19
47 31 50
49 50 84
34 78 34
54 37 80
100 76 36
40 38 79
71 64 84
85 56 52
95 49 8
19 97 76
81 11 12
96 65 31
21 90 75
84 80 45
68 6 9
1 25 33
25 82 28
3 23 73
86 11 60
15 54 39
37 76 15
22 7 98
83 85 67
99 12 43
75 12 20
63 36 27
83 69 2
22 55 95
57 49 92
28 58 49
77 98 97
18 95 25
48 82 63
92 71 87
81 12 73
75 87 9
52 2 95
48 25 52
50 74 39
87 5 71
35 63 28
63 62 64
84 15 98
12 5 75
19 98 5
6 16 42
80 23 57
74 4 98
2 80 78
90 15 68
46 38 25
57 100 14
53 83 8
20 7 72
50 6 54
80 33 5
23 36 9
79 12 84
33 54 67
66 40 91
23 70 50
28 76 20
47 76 24
70 66 14
65 60 16
72 50 33
7 62 32
82 56 44
73 13 25
96 43 73
91 7 46
36 15 17
84 49 96
58 80 31
49 16 13
81 95 83
8 100 17
69 100 2
41 54 60
100 15 73
54 57 98
44 82 86
63 18 98
53 21 98
73 90 75
59 87 27
79 47 97
57 18 34
41 47 98
67 13 50
66 84 49
48 75 49
24 68 78
8 77 28
6 17 10
68 11 26
21 82 63
77 45 26
65 43 75
72 64 44
2 30 75
86 17 35
87 92 91
2 18 59
51 2 53
18 66 73
41 89 71
38 1 25
17 14 51
95 28 76
70 34 3
33 8 41
75 88 72
84 38 28
4 72 55
40 77 74
73 25 97
24 47 65
77 14 75
12 49 57
51 49 54
9 25 57
39 65 27
97 92 83
27 13 63
26 19 56
37 10 13
67 18 47
4 35 62
36 11 30
29 49 25
4 23 51
80 61 63
51 86 6
1 73 13
50 20 85
85 21 86
23 90 50
63 75 8
51 36 50
20 48 32
56 53 43
72 43 82
45 3 27
34 29 52
55 90 88
10 40 4
84 11 8
19 9 22
4 59 84
31 73 78
94 82 30
67 84 70
30 54 13
79 58 96
33 84 14
33 7 82
17 39 6
27 88 41
79 62 26
64 18 83
17 60 13
21 68 90
41 35 5
88 52 12
17 73 83
86 58 19
69 48 8
11 91 14
4 92 81
21 84 71
25 64 59
93 7 7
64 60 49
18 40 67
4 32 41
89 34 44
8 9 85
39 10 47
7 28 55
69 16 24
35 44 77
18 98 37
27 78 86
58 67 59
88 69 74
42 87 11
90 42 41
99 91 55
56 30 31
30 11 39
56 47 52
59 13 36
95 11 71
21 69 43
97 27 84
18 10 58
18 56 50
28 33 28
40 30 25
82 99 26
69 84 90
31 84 6
54 83 50
21 41 88
62 75 11
88 72 16
42 26 100
41 52 89
75 70 58
15 47 17
92 14 49
64 94 6
2 79 9
23 30 63
45 4 38
7 9 77
35 69 46
33 60 7
1 50 43
83 76 29
33 17 13
35 39 70
66 69 56
89 65 50
