100 201
69 68 94
55 62 56
76 98 17
57 51 50
36 71 70
34 44 3
86 45 61
82 37 8
49 36 94
60 13 73
69 71 85
14 71 32
57 32 75
32 88 18
25 67 40
88 39 72
57 62 3
68 83 45
13 71 6
16 33 16
5 83 59
82 3 81
1 83 35
6 48 90
46 95 87
15 29 72
24 66 29
66 72 64
40 79 90
61 48 83
95 27 90
33 28 53
15 20 15
3 41 66
83 53 21
86 67 99
52 41 8
57 92 88
10 6 40
11 36 69
62 33 43
57 64 94
54 13 89
17 51 41
82 52 23
88 25 89
62 11 20
54 93 96
84 26 37
54 56 57
73 24 13
30 15 32
52 88 31
98 6 24
11 73 58
16 34 93
70 1 90
69 8 27
82 45 95
18 77 39
33 76 38
77 30 5
86 76 87
25 23 8
30 66 30
98 44 8
79 84 84
95 79 45
56 17 55
62 42 88
15 28 41
39 17 6
87 35 4
25 32 15
63 86 100
64 10 84
90 96 91
56 87 99
96 49 13
28 76 15
26 22 31
96 78 100
18 78 66
91 90 24
93 33 38
24 16 23
97 93 74
32 65 33
97 27 18
43 73 40
67 34 46
40 10 65
5 53 23
23 6 98
45 54 13
94 68 88
2 38 10
47 51 38
11 66 24
81 82 51
4 68 3
46 59 59
82 17 38
89 81 42
43 25 49
66 69 81
97 3 6
39 7 15
15 83 3
65 96 84
13 2 76
67 33 22
45 62 40
85 12 23
21 84 70
15 7 76
61 100 25
99 84 56
18 31 54
6 53 75
33 13 92
78 39 35
69 32 22
30 47 73
45 44 20
61 92 54
10 63 23
47 67 35
86 41 89
2 81 5
58 39 91
91 47 49
92 45 15
42 40 44
3 78 36
62 75 29
51 30 3
61 77 1
27 59 82
43 44 35
26 21 80
85 32 68
64 43 13
61 64 13
15 14 98
72 10 34
47 6 25
9 94 5
79 86 34
2 99 12
15 52 10
78 40 80
77 10 95
99 51 37
47 71 88
85 62 30
57 66 75
5 62 29
43 35 34
18 88 57
54 17 57
49 68 64
91 53 37
3 43 26
68 22 15
37 5 88
32 33 98
75 88 65
100 53 86
93 3 93
43 11 99
45 3 92
52 56 46
2 11 47
9 95 17
13 46 28
52 84 3
63 80 34
89 30 88
60 36 57
49 94 88
37 46 63
84 6 84
35 22 78
79 22 74
39 86 18
68 19 72
11 15 78
88 30 28
53 19 54
93 34 47
9 92 57
28 13 73
97 72 98
13 34 78
62 52 23
50 37 72
40 93 81
28 68 16
95 36 86
74 19 96
